MPI_Processes,Memory_MB,Backend_Processes,Trial_Iteration,Checkpoint_min,Init_min,Memory Reg_min,Total_Execution_Sec_min,lib_Checkpoint Total_min,lib_Mem DeReg Wait_min,lib_Memory Copy_min,lib_Wait for checkpoint_min,Checkpoint_mean,Init_mean,Memory Reg_mean,Total_Execution_Sec_mean,lib_Checkpoint Total_mean,lib_Mem DeReg Wait_mean,lib_Memory Copy_mean,lib_Wait for checkpoint_mean,Checkpoint_median,Init_median,Memory Reg_median,Total_Execution_Sec_median,lib_Checkpoint Total_median,lib_Mem DeReg Wait_median,lib_Memory Copy_median,lib_Wait for checkpoint_median,Checkpoint_max,Init_max,Memory Reg_max,Total_Execution_Sec_max,lib_Checkpoint Total_max,lib_Mem DeReg Wait_max,lib_Memory Copy_max,lib_Wait for checkpoint_max
64,256,16,4,115.238584,2622.705203,70.787149,139.705053,115.202536,1.055319,113.562555,1.071339,119.34908247916667,3277.84241325,102.206423546875,139.705053,119.31816167187499,726.6261325260416,117.14871133157894,1.954711265625,118.5297325,3238.312379,99.6948425,139.705053,118.5055665,1.06649,117.1927775,1.1060595,126.856796,3764.951083,166.743997,139.705053,126.806621,3603.38842,120.955421,7.020153
64,256,16,5,106.477826,2746.496148,67.206596,139.787148,106.433763,1.05584,104.66015,1.077751,119.62514372395833,3291.2327960625,96.85945965625,139.787148,119.59632378645834,678.37123421875,117.24751436702128,2.0751544684210526,118.690154,3243.5767115,88.2773155,139.787148,118.667336,1.0667805000000001,117.38181349999999,1.1025575,130.316051,3823.974552,189.156451,139.787148,130.260807,3472.088003,120.330582,9.722773
64,256,16,6,103.712718,2776.183568,68.339653,139.790785,103.664878,1.055459,102.045841,1.07788,119.51980535416668,3346.587723140625,106.64617,139.790785,119.489944,682.0272835520833,117.25009063492064,2.014602094240838,118.6735205,3282.3025975,96.4449695,139.790785,118.651492,1.069219,117.287557,1.101503,130.898374,3857.896715,197.478896,139.790785,130.849132,3513.090734,121.33724,9.486004
64,256,16,7,112.474378,2784.098761,73.336494,139.848269,112.426147,1.056701,110.842685,1.084123,119.4795521875,3335.02199040625,107.32332465625,139.848269,119.4514402513089,708.4460682812501,117.23550736702128,1.9886524607329843,118.6021565,3328.643954,103.1765115,139.848269,118.568708,1.066479,117.287339,1.102708,129.468936,3861.190105,175.514971,139.848269,129.441114,3616.160336,120.968236,8.396534
64,256,16,8,107.327295,2674.953145,69.651841,139.76632,107.289814,1.056891,105.584972,1.084363,119.38108228124999,3334.366875125,106.8526678125,139.76632,119.35179416666666,675.066049984375,117.32026700526315,1.814671609375,118.66084000000001,3250.865532,105.1160885,139.76632,118.638815,1.0651264999999999,117.3451555,1.105137,131.203286,3861.593876,161.15079,139.76632,131.156629,3459.540889,121.662268,9.390905
64,256,16,9,109.620833,2616.083527,63.351329,140.528153,109.573093,1.016796,107.919436,1.071709,119.52771758854168,3328.575374125,96.737462703125,140.528153,119.49692181151833,673.681092046875,117.28967535602094,1.9818419057591625,118.649987,3275.2421445,95.94352649999999,140.528153,118.624309,1.0593915,117.311783,1.10421,128.131131,3832.516116,145.993678,140.528153,128.08274,3506.688643,120.012794,8.335086
64,512,16,0,232.038757,2594.929545,129.615898,284.160236,231.998632,1.055478,230.375055,1.090755,235.46564450000002,3320.7092524375,176.50813778124999,284.160236,235.4385607591623,1551.3907816875,233.5999149895288,1.6088891570680628,235.10199849999998,3273.737105,167.45952,284.160236,235.080043,1.065236,233.666877,1.10443,241.246576,3886.217136,281.305611,284.160236,241.211421,8428.1773,236.043168,6.646426
64,512,16,1,223.245497,2631.09163,107.347319,284.203868,223.198667,1.056643,221.435645,1.088263,235.94890105208333,3378.6862913281248,148.0330650625,284.203868,235.91966324479165,1528.4517984218749,233.6356477445652,2.021285857894737,235.2181665,3274.681315,140.590468,284.203868,235.199572,1.064538,233.7528565,1.102244,245.493987,3892.928253,232.142063,284.203868,245.441298,8020.892074,239.884247,9.734732
64,512,16,2,223.283196,2770.380688,106.594363,284.12188,223.235186,1.05597,221.541163,1.089022,235.85584358854166,3315.64160765625,141.32721996875,284.12188,235.831332513089,1504.98923940625,233.7467386902174,1.818429884816754,235.236515,3263.303054,135.183651,284.12188,235.214228,1.064446,233.78425,1.101276,246.913034,3797.138062,195.327249,284.12188,246.861657,7611.437933,239.261355,9.932006
64,512,16,3,228.99135,2596.520348,108.041132,283.346392,228.941075,1.056451,227.232375,1.08819,235.54780946875,3308.505491109375,147.3584254375,283.346392,235.52283841578947,1728.9937623229168,233.3774258031915,1.9144665572916668,234.9917935,3268.3514615,141.689048,283.346392,234.961626,1.0656880000000002,233.48058550000002,1.09848,245.674037,3814.301153,222.267459,283.346392,245.624734,8771.751843,236.168485,9.110427
