MPI_Processes,Memory_MB,Backend_Processes,Trial_Iteration,Total_Execution_Sec_min,Total_Execution_Sec_mean,Total_Execution_Sec_median,Total_Execution_Sec_max
128,256,,3,208.689541,208.689541,208.689541,208.689541
128,256,,4,208.676196,208.676196,208.676196,208.676196
128,256,,5,208.830614,208.830614,208.830614,208.830614
128,256,,6,208.644343,208.644343,208.644343,208.644343
128,256,,7,208.824138,208.824138,208.824138,208.824138
128,256,,8,208.594245,208.594245,208.594245,208.594245
128,256,,9,208.761133,208.761133,208.761133,208.761133
128,512,,0,415.02036,415.02036,415.02036,415.02036
128,512,,1,414.981245,414.981245,414.981245,414.981245
128,512,,2,414.991404,414.991404,414.991404,414.991404
128,512,,3,414.969344,414.969344,414.969344,414.969344
128,512,,4,414.966018,414.966018,414.966018,414.966018
128,512,,5,414.993026,414.993026,414.993026,414.993026
128,512,,6,414.939445,414.939445,414.939445,414.939445
128,512,,7,415.038729,415.038729,415.038729,415.038729
128,512,,8,414.882656,414.882656,414.882656,414.882656
128,512,,9,414.882545,414.882545,414.882545,414.882545
128,1024,,0,830.799072,830.799072,830.799072,830.799072
128,1024,,1,830.921086,830.921086,830.921086,830.921086
128,1024,,2,830.770725,830.770725,830.770725,830.770725
128,1024,,3,830.969981,830.969981,830.969981,830.969981
128,1024,,4,830.414856,830.414856,830.414856,830.414856
128,1024,,5,831.137451,831.137451,831.137451,831.137451
128,1024,,6,830.337706,830.337706,830.337706,830.337706
128,1024,,7,830.573267,830.573267,830.573267,830.573267
128,1024,,8,830.343228,830.343228,830.343228,830.343228
